Tag,Count
"90's pop, pop",0.0003620564808110065
a cappella,0.0003620564808110065
acustico,0.0003620564808110065
alphabet city (trance),0.0003620564808110065
am pop,0.0003620564808110065
axe,0.0003620564808110065
bachata,0.0010861694424330196
bhangra,0.0003620564808110065
children's music,0.0039826212889210715
christmas,0.0025343953656770456
christmas vocal,0.0003620564808110065
classical,0.004706734250543085
comedy,0.002896451846488052
country,0.04779145546705286
country/bluegrass women,0.0003620564808110065
dance,0.0499637943519189
dance and trance,0.0003620564808110065
dance/90s,0.0003620564808110065
dance/hinrg,0.0003620564808110065
darkpsy,0.0003620564808110065
deutsch pop,0.0010861694424330196
diverse,0.0003620564808110065
dj,0.0003620564808110065
dm,0.0003620564808110065
"downtempo, future jazz, house, deep house",0.0003620564808110065
drum & bass,0.000724112961622013
easy listening,0.009051412020275163
electronic,0.03475742215785663
electronica/dance,0.015930485155684286
es - balada,0.0003620564808110065
fetenhits,0.0003620564808110065
fitness & workout,0.000724112961622013
flamenco,0.0003620564808110065
flamenco pop,0.0003620564808110065
folk,0.0032585083272990588
folk rock,0.0003620564808110065
french alternative,0.0003620564808110065
general unclassifiable,0.000724112961622013
gospel & religious,0.007965242577842143
goth/industrial/dark,0.0003620564808110065
greek,0.0003620564808110065
grupero,0.0003620564808110065
hardnrg,0.0003620564808110065
hi-nrg disco,0.0003620564808110065
hip-hop,0.020637219406227373
hip-hop de,0.0003620564808110065
hit singles,0.0018102824040550326
house,0.025343953656770456
"idm, breakcore, dubstep, grime",0.0003620564808110065
idol pop vocals,0.0003620564808110065
instrumental,0.0010861694424330196
instrumental guitar,0.0003620564808110065
instrumentals,0.000724112961622013
intro house,0.0003620564808110065
italian pop,0.0003620564808110065
italy,0.0003620564808110065
jazz,0.01774076755973932
latin,0.03765387400434468
lo-fi,0.000724112961622013
lounge,0.0010861694424330196
mandopop,0.0003620564808110065
marcing band,0.0003620564808110065
mca,0.0003620564808110065
mpb,0.000724112961622013
musique francaise,0.0003620564808110065
nashville sound,0.0003620564808110065
new,0.0003620564808110065
new age,0.003620564808110065
noise pop,0.0003620564808110065
opm,0.0003620564808110065
orchestra,0.0003620564808110065
other,0.008689355539464157
others,0.0003620564808110065
party-musik,0.0003620564808110065
pop,0.2682838522809558
pop-jazz,0.0003620564808110065
pop/charts,0.0003620564808110065
pop/español,0.0003620564808110065
pop/motown,0.0003620564808110065
pop/rap,0.0003620564808110065
pop/rock latino,0.0003620564808110065
pop/rock/other,0.0003620564808110065
port - pop rock,0.0003620564808110065
progressive/electro,0.0003620564808110065
r&b,0.05068790731354091
r'n'b us,0.000724112961622013
ragtime,0.0003620564808110065
reggae,0.010499637943519189
reggae nacional,0.0003620564808110065
retro rock,0.0003620564808110065
rock,0.29217958001448224
rock - punk,0.0003620564808110065
rock español,0.0003620564808110065
schlager,0.0003620564808110065
soundtrack,0.012671976828385228
soundtracks/musicals/theatre,0.0003620564808110065
streetpunk,0.0003620564808110065
techno,0.00941346850108617
trance,0.012309920347574221
ultimix,0.0003620564808110065
unclassifiable,0.0003620564808110065
viejas espanol,0.0003620564808110065
viking/folk metal,0.000724112961622013
weltmusik,0.0003620564808110065
world,0.010861694424330196
zouk,0.0003620564808110065
