Item,cvar,1.0,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default
TRDPTCF128F93002CE.jams,,131.17853,166.709,150,96,108,84.7208,151.0899,75.54495,42.55
TRDWVQX128F9335CED.jams,,58.984993,126.048,87,84,77,62.642,87.68892,87.68892,120.0
TRGBTIM128F427FFF0.jams,,69.98554,143.555,140,140,141,140.625,140.44421,140.44421,139.53
TRIRCFN128F4280243.jams,,76.25467,117.454,116,56,58,113.582,115.21,115.21,115.38
TRLLLKU128F425FF8B.jams,,47.70845,215.332,112,113,232,111.139,96.04776,96.04776,222.22
TRUMGSR128F428F2E2.jams,,151.95734,77.1339,76,76,76,75.9995,75.99838,75.99838,75.95
TRVKVHJ12903CF3934.jams,,161.42017,103.359,116,80,84,91.4685,122.819695,122.819695,117.65
TRWDVQL128F423605D.jams,,70.14326,143.555,140,140,141,140.625,140.28651,140.28651,139.53
TRWDYGV128F92EDBF6.jams,,44.43589,90.6661,90,88,88,89.4886,88.95064,88.95064,89.55
TRYHIIS128F4234DAF.jams,,139.93164,70.7941,70,70,70,70.0742,69.96582,69.96582,69.77
TRZJFFH128F14647FC.jams,,49.206734,105.469,87,87,84,86.1328,56.225002,112.450005,60.61
