Item,cvar,1.0,2.0,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
3630279.LOFI.jams,,173.0,174.0,117.454,132,132,132,86.4932,132.24309,132.24309,43.8,86.506065
3642438.LOFI.jams,,172.0,170.0,114.844,118,108,216,86.1328,107.48202,107.48202,42.86,107.48202
3787878.LOFI.jams,,132.0,130.0,123.047,116,116,116,121.599,115.48599,115.48599,117.65,115.52542
3801596.LOFI.jams,,140.0,179.0,89.1029,89,89,89,89.1029,89.02949,89.02949,89.55,88.95064
3907042.LOFI.jams,,170.0,170.0,86.1328,85,85,85,85.0694,85.00779,85.00779,84.51,85.00779
3920460.LOFI.jams,,180.0,179.0,90.6661,90,90,90,89.8777,89.97578,89.97578,89.55,90.015205
3980001.LOFI.jams,,53.0,167.0,84.7208,83,83,83,83.0196,82.99693,82.99693,41.38,82.99693
4625875.LOFI.jams,,172.0,170.0,114.844,86,86,86,86.1328,85.99349,85.99349,85.71,75.48581
5089294.LOFI.jams,,140.0,170.0,86.1328,85,85,85,85.0694,85.00779,85.00779,84.51,85.00779
5137154.LOFI.jams,,70.0,134.0,112.347,140,140,140,139.675,140.01051,140.01051,139.53,139.97108
5214755.LOFI.jams,,170.0,170.0,114.844,85,85,85,85.0694,85.00779,85.00779,42.55,85.00779
942357.LOFI.jams,,170.0,170.0,114.844,85,85,85,84.7208,85.00779,85.00779,42.55,85.00779
