Tag,Count
acapella,0.004608294930875576
ambiguity of metrical level,0.06451612903225806
beat phase ambiguity,0.05069124423963134
cd skips,0.004608294930875576
changing time signature,0.06451612903225806
excerpt is the introduction of the song,0.10138248847926268
expressive timing,0.5714285714285714
gradual tempo change,0.2534562211981567
lack of harmonic change,0.03225806451612903
lack of transient sounds,0.3225806451612903
low familiarity with the song/style,0.10599078341013825
missing bass,0.3317972350230415
no repetition,0.027649769585253458
none,0.08755760368663594
pauses,0.15207373271889402
poor sound quality,0.0967741935483871
quiet accompaniment,0.21658986175115208
rich ornamentation in the interpretation,0.1152073732718894
slow tempo,0.3271889400921659
strong syncopation,0.11059907834101383
tempo discontinuity,0.1935483870967742
ternary meter,0.3225806451612903
wide dynamic range,0.059907834101382486
