Estimator,Accuracy1,Accuracy2
schreiber2017/mirex2017,0.88,0.944
boeck2019/multi_task_hjdb,0.77,0.936
percival2014/stem,0.769,0.928
schreiber2017/ismir2017,0.766,0.924
boeck2019/multi_task,0.761,0.934
schreiber2014/default,0.76,0.917
schreiber2018/fcn,0.716,0.927
gkiokas2012/default,0.706,0.92
schreiber2018/cnn,0.702,0.936
boeck2015/tempodetector2016_default,0.693,0.942
klapuri2006/percival2014,0.69,0.91
zplane/auftakt_v3,0.679,0.878
schreiber2018/ismir2018,0.674,0.92
echonest/version_3_2_1,0.67,0.857
oliveira2010/ibt,0.601,0.861
davies2009/mirex_qm_tempotracker,0.587,0.886
scheirer1998/percival2014,0.558,0.757
