Tag,Count
2/2,0.09803921568627451
2/4,0.08823529411764706
3/2,0.00980392156862745
3/4,0.10784313725490197
3/8,0.0196078431372549
4/4,0.5980392156862745
5/4,0.029411764705882353
6/4,0.00980392156862745
6/8,0.00980392156862745
7/4,0.00980392156862745
9/8,0.0196078431372549
A Cappella,0.00980392156862745
African,0.029411764705882353
Ballade,0.029411764705882353
Baroque (Orchestral),0.00980392156862745
Baroque (Solo),0.0392156862745098
Big Band,0.029411764705882353
Blues,0.029411764705882353
Bossa Nova,0.029411764705882353
Brass Band,0.029411764705882353
Canzone,0.029411764705882353
Chanson,0.029411764705882353
Classic (Chamber),0.00980392156862745
Classic (Orchestral),0.00980392156862745
Classic (Solo),0.00980392156862745
Classical,0.13725490196078433
Country,0.029411764705882353
Court (Gagaku),0.029411764705882353
Dance,0.14705882352941177
Flamenco,0.029411764705882353
Folk,0.029411764705882353
Folk (Min'you),0.029411764705882353
Funk,0.029411764705882353
Fusion,0.029411764705882353
Gospel,0.029411764705882353
Heavy Metal,0.029411764705882353
House,0.029411764705882353
Indian,0.029411764705882353
Jazz,0.08823529411764706
Latin,0.11764705882352941
March,0.029411764705882353
Modern (Orchestral),0.0196078431372549
Modern (Solo),0.00980392156862745
Modern Jazz,0.029411764705882353
Popular,0.058823529411764705
Popular (Enka),0.029411764705882353
Rap / Hip-Hop,0.029411764705882353
Reggae,0.029411764705882353
Rock,0.058823529411764705
Romantic (Chamber),0.00980392156862745
Romantic (Orchestral),0.00980392156862745
Romantic (Solo),0.00980392156862745
Samba,0.029411764705882353
Soul / R&B,0.029411764705882353
Tango,0.029411764705882353
Techno,0.029411764705882353
Traditional Japanese,0.08823529411764706
Vocal,0.058823529411764705
World,0.20588235294117646
female,0.24509803921568626
male,0.27450980392156865
