Item,davies2009/mirex_qm_tempotracker,klapuri2006/percival2014,boeck2019/multi_task_hjdb,boeck2019/multi_task,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,gkiokas2012/default,schreiber2017/mirex2017,schreiber2017/ismir2017,scheirer1998/percival2014,zplane/auftakt_v3,oliveira2010/ibt,boeck2015/tempodetector2016_default,echonest/version_3_2_1,schreiber2014/default
Albums-AnaBelen_Veneo-01.jams,0.02668282652888795,-0.0007977055473921768,0.004093621852602343,0.004683319404605329,0.006450967215148453,0.006450967215148453,0.006450967215148453,0.006023984074875897,0.006450967215148453,0.0032471320652311102,0.0032471320652311102,0.01838905581172146,0.0035036831648118153,0.006450967215148453,0.01174095292129787,0.0019834797554397028,0.0038287692219425165
Albums-AnaBelen_Veneo-02.jams,0.020906319866512323,-0.007112040482609365,0.004972685514112841,0.0033883349880109107,0.001802242633984424,0.001802242633984424,0.001802242633984424,-0.00015971337785735616,-0.012697327061130472,-0.0017506389946722572,-0.0017506389946722572,0.0005898695316171903,-0.4190176092388652,-0.012697327061130472,0.001802242633984424,-0.019050409408073978,-0.0017506389946722572
Albums-AnaBelen_Veneo-03.jams,0.006544048112137929,0.00654788937185011,-0.0002541771657998248,0.001794677921054074,0.004321605950093148,0.004321605950093148,0.004321605950093148,0.006544048112137929,0.004321605950093148,0.0007686857547078,0.0007686857547078,-0.8837167543315685,0.0007103523977144001,-0.03220427007502081,0.004321605950093148,0.0010477854575820394,0.0007686857547078
Albums-AnaBelen_Veneo-11.jams,-0.9971815646754222,-0.9971849843929476,-0.007670244208787576,-0.012155274372708915,0.010063683344696208,0.010063683344696208,0.010063683344696208,-1.000865876813563,-1.0036112535523805,-1.0014729787015555,-1.0014729787015555,-0.9952404738405641,-0.9994951450801485,-1.0036112535523805,0.0255639457194186,-0.04844726593542954,-1.0003915933612677
Albums-AnaBelen_Veneo-13.jams,-0.573518490477127,-0.000939563185723895,0.001540396366305406,-0.0027045881437547364,0.004363462749398825,0.004363462749398825,0.004363462749398825,-1.0009397700439995,0.004363462749398825,0.0008533386645511547,0.0008533386645511547,0.007581528328840676,0.002192363707771808,-0.5431243325530946,0.007938648474905878,0.0018555507027092333,0.0008533386645511547
Albums-AnaBelen_Veneo-15.jams,0.005815706886052415,0.005819548145764378,,,0.0035932647240076135,0.0035932647240076135,0.0035932647240076135,-1.0025440113287578,-0.00847956757656748,0.0009904604300888836,0.0009904604300888836,-0.5805471341006306,0.0011867670169123526,0.0035932647240076135,0.0035932647240076135,0.00022304283886505222,0.0005154806941015396
Albums-Ballroom_Classics4-01.jams,0.815413923670549,0.020234488555908578,0.003791021512290694,0.00728523876261626,0.01043939752165648,0.01043939752165648,0.01043939752165648,-0.015985216129331004,0.01043939752165648,0.00813139603877951,0.00813139603877951,0.35409226356373485,0.007119039230044966,0.5787231570961824,0.00977593692551268,-0.5381228466080092,0.0100946019562225
Albums-Ballroom_Classics4-02.jams,0.010516406512360075,-0.0016584551098738642,0.001384322870540965,0.0022128389680190867,0.0007211672436543716,0.0007211672436543716,0.0007211672436543716,0.00441603250035969,0.0007211672436543716,0.0016838034964026661,0.0016838034964026661,1.000148950573531,0.2512646288942514,-0.015957573902976085,5.770664751036011e-05,-0.5023375656217811,0.0016838034964026661
Albums-Ballroom_Classics4-03.jams,0.02440423322577833,0.35245827848811445,0.007627393545973815,0.006627258295598038,0.014608993957072545,0.014608993957072545,0.014608993957072545,-0.15904134954842997,0.6801899548865132,0.010990591954205485,0.010990591954205485,0.10234649663568243,0.22844786232733902,0.2859110157744668,0.013945533360928518,-0.19216719625514653,0.00967916650934838
Albums-Ballroom_Classics4-04.jams,0.010516406512360075,-0.0016584551098738642,0.0032064306332487327,0.002544112228002784,0.0007211672436543716,0.0007211672436543716,0.0007211672436543716,0.010516406512360075,0.0007211672436543716,0.0003763716782204313,0.0003763716782204313,0.00848581329029097,0.007339046008161996,0.017209290032223417,5.770664751036011e-05,0.0011854081875651437,0.0003763716782204313
Albums-Ballroom_Classics4-05.jams,0.9389658533456652,0.41742586871726317,-0.0022668111269180183,-0.002931647563056276,0.0007211672436543716,0.0007211672436543716,0.0007211672436543716,0.03517815366958964,0.0007211672436543716,-0.0022419688035298867,-0.0022419688035298867,0.39236248911995764,-0.014280996095592413,0.4281423909783305,5.770664751036011e-05,-0.568163125463928,-0.004865069940573833
Albums-Ballroom_Classics4-06.jams,0.016525564542512857,-0.0013938970257386177,0.0028490324364523817,0.002285281485240703,0.0030744711494496094,0.0030744711494496094,0.0030744711494496094,-0.001395785132021962,0.0030744711494496094,0.0011243883744125212,0.0011243883744125212,-0.0024023731466183305,0.0030744711494496094,0.014301726572703571,-0.0007627861694899234,0.007339889290510162,0.0011243883744125212
Albums-Ballroom_Classics4-07.jams,0.009984360587415265,-0.007935100980836211,-0.004819893799852462,-0.004594278811373265,-0.00346673280564806,-0.00346673280564806,-0.00346673280564806,-1.0034757496778313,-0.02618680930573157,-0.004082376458213998,-0.004082376458213998,,-0.005722706746015998,0.007760522617606129,-0.007303990124587556,-0.9536399600483586,-0.004082376458213998
Albums-Ballroom_Classics4-08.jams,0.017919464929914,3.3616623147955088e-09,0.0013090193322193144,0.002212397596482396,0.004468371536850547,0.004468371536850547,0.004468371536850547,-1.8847446209613417e-06,-0.9955316284631495,-0.0005999847929052994,-0.0005999847929052994,-0.9926738669696347,0.001083086352211824,0.015695626960104528,0.0006311142179107838,-0.9968847894573538,-0.001492292018398496
Albums-Ballroom_Classics4-09.jams,0.012681450781645868,-0.005238010786605788,0.0013702700161253565,0.0013702700161253565,-0.0007696426114175326,-0.0007696426114175326,-0.0007696426114175326,0.0036980414016758575,-1.0007696426114174,-0.0018298493803325423,-0.0018298493803325423,0.009752868712437324,-0.004154927796056107,0.010457612811836539,-0.004606899930357075,-0.008760367006343407,-0.0018298493803325423
