Item,cvar,schreiber2018/ismir2018,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
000/000148.jams,,80,107.666,83.3543,65.60898,65.60898,181.82,70.97125
000/000399.jams,,79,105.469,90.6661,149.90704,149.90704,150.0,74.95352
000/000405.jams,,80,135.999,67.5551,67.50154,67.50154,136.36,85.1655
000/000540.jams,,121,132.512,131.668,149.0002,149.0002,150.0,80.33552
000/000714.jams,,96,161.499,68.9062,146.16135,146.16135,230.77,73.06096
000/000715.jams,,96,166.709,71.2823,131.80939,131.80939,130.43,65.88498
000/000753.jams,,87,126.048,74.8981,50.31073,50.31073,117.65,105.90488
000/000819.jams,,121,109.957,108.799,107.955154,107.955154,107.14,107.955154
000/000878.jams,,80,114.844,90.6661,46.76217,46.76217,150.0,104.28831
000/000890.jams,,119,143.555,89.8777,135.47623,135.47623,77.92,126.52596
000/000995.jams,,160,123.047,91.4685,24.682224,24.682224,206.9,97.6249
001/001017.jams,,120,147.656,145.577,154.28362,154.28362,153.85,77.14181
001/001047.jams,,144,114.844,100.349,130.8631,130.8631,187.5,130.8631
001/001197.jams,,90,123.047,121.243,60.877563,60.877563,60.61,60.877563
001/001199.jams,,80,132.512,122.319,54.095863,108.19173,57.69,54.095863
001/001249.jams,,146,156.605,91.4685,106.61459,106.61459,171.43,106.61459
001/001259.jams,,121,132.512,53.0048,69.867256,69.867256,103.45,69.808105
001/001278.jams,,121,156.605,89.1029,94.58891,94.58891,153.85,132.12482
001/001451.jams,,106,172.266,85.421,101.449455,101.449455,166.67,101.449455
001/001552.jams,,119,191.406,94.3921,94.58891,94.58891,187.5,94.58891
001/001553.jams,,80,120.185,119.491,57.25014,57.25014,117.65,114.658
001/001634.jams,,146,109.957,75.9995,117.45742,117.45742,187.5,117.45742
001/001995.jams,,146,166.709,86.8566,68.999825,68.999825,166.67,79.98065
003/003263.jams,,80,107.666,106.556,52.163868,52.163868,105.26,104.40659
003/003268.jams,,144,109.957,110.545,107.206024,107.206024,107.14,110.79401
003/003446.jams,,121,143.555,98.9085,63.164413,63.164413,130.43,126.32883
003/003460.jams,,73,83.3543,82.0312,56.934715,56.934715,176.47,78.068375
003/003537.jams,,74,126.048,121.599,99.793465,99.793465,100.0,106.930016
003/003538.jams,,96,139.675,86.8566,101.88317,101.88317,200.0,101.88317
003/003564.jams,,96,117.454,114.209,41.79418,41.79418,74.07,102.98717
003/003570.jams,,151,191.406,95.7031,101.17346,101.17346,193.55,96.99404
003/003572.jams,,160,151.999,67.1165,46.76217,46.76217,136.36,93.52434
003/003832.jams,,90,143.555,130.012,66.59469,66.59469,133.33,66.59469
004/004017.jams,,70,107.666,51.9394,29.650211,59.300423,105.26,81.22266
004/004066.jams,,96,161.499,73.8281,117.41799,117.41799,240.0,73.65239
004/004316.jams,,96,139.675,135.11,51.88787,51.88787,214.29,118.640274
004/004450.jams,,87,184.57,148.719,46.525597,46.525597,146.34,116.55057
004/004501.jams,,120,166.709,81.3853,41.636467,41.636467,166.67,80.00037
004/004520.jams,,118,151.999,147.656,148.17221,148.17221,146.34,74.086105
004/004708.jams,,118,105.469,78.9003,132.59796,132.59796,77.92,132.71625
005/005019.jams,,138,161.499,78.3026,49.36445,49.36445,157.89,49.36445
005/005026.jams,,87,132.512,78.9003,72.7061,72.7061,115.38,66.4764
005/005031.jams,,143,107.666,106.556,106.4963,106.4963,107.14,106.930016
005/005265.jams,,159,129.199,126.048,62.848984,62.848984,63.16,125.54025
005/005337.jams,,120,90.6661,89.8777,142.96764,142.96764,181.82,143.00708
006/006358.jams,,116,67.1165,66.256,132.28253,132.28253,65.93,132.32196
006/006407.jams,,73,126.048,79.8142,49.04902,49.04902,101.69,49.04902
006/006534.jams,,72,151.999,78.6003,156.8859,156.8859,77.92,78.50209
006/006584.jams,,151,178.206,87.5927,71.12897,142.25793,193.55,105.74716
006/006632.jams,,92,99.384,97.971,98.25575,98.25575,96.77,98.33461
006/006675.jams,,132,105.469,102.845,126.56539,126.56539,200.0,126.56539
006/006677.jams,,120,132.512,131.668,50.547302,50.547302,200.0,101.094604
006/006679.jams,,120,132.512,65.625,62.533558,62.533558,130.43,125.067116
006/006680.jams,,158,139.675,86.8566,20.739376,20.739376,200.0,82.957504
006/006684.jams,,120,132.512,131.668,42.661606,42.661606,193.55,170.64642
006/006753.jams,,121,156.605,116.134,110.00544,110.00544,171.43,80.78894
006/006755.jams,,143,107.666,105.469,156.01846,156.01846,222.22,156.01846
006/006758.jams,,120,139.675,91.4685,95.180336,95.180336,187.5,145.17563
006/006761.jams,,96,166.709,86.4932,84.65293,84.65293,157.89,119.11341
