Item,cvar,1.0,2.0,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
SMC_015.jams,0.16805429734167313,35.335689045936384,35.336,172.266,84,84,84,82.6875,158.89676,158.89676,166.67,86.821495
SMC_018.jams,0.07984395222576851,84.03361344537747,84.034,156.605,116,92,92,90.6661,20.660519,20.660519,181.82,92.14433
SMC_032.jams,0.27572148215465847,89.15304606240736,89.153,147.656,60,121,84,150.89,123.64769,123.64769,40.82,121.67627
SMC_111.jams,0.25686971957504223,93.02325581395355,93.023,132.512,73,67,130,58.2306,57.56557,57.56557,130.43,57.56557
SMC_119.jams,0.08333145505248628,56.87714805579892,56.872,105.469,77,91,77,85.421,85.99349,85.99349,162.16,106.930016
SMC_137.jams,0.16646483507205848,125.39527245409565,124.74,132.512,57,163,77,80.1235,53.622723,53.622723,115.38,75.54495
SMC_149.jams,0.16291190212445325,73.17689182724914,73.175,156.605,87,84,84,84.375,41.55761,83.11522,153.85,85.95407
SMC_152.jams,0.1683202696069443,84.03361344537821,84.034,191.406,100,101,101,93.1166,136.18594,136.18594,58.82,71.52325
SMC_158.jams,0.23568323460392046,42.36091499576391,42.361,184.57,97,101,101,101.333,101.33118,101.33118,200.0,95.10148
SMC_174.jams,0.1488959761539741,81.68826113551681,81.688,126.048,116,177,90,93.1166,59.260994,59.260994,139.53,118.52199
SMC_179.jams,0.20281350431987633,41.66829433441414,41.667,139.675,148,70,87,92.2852,139.65565,139.65565,69.77,87.76778
SMC_206.jams,0.1073322751124355,71.77033492822964,71.77,117.454,116,87,116,86.1328,54.96329,54.96329,75.0,55.081577
SMC_209.jams,0.1679992726415773,72.99313284395004,72.993,129.199,80,80,81,89.8777,79.2118,79.2118,77.92,79.56666
SMC_215.jams,0.12806146045319136,57.3067993669066,57.307,191.406,87,94,94,98.4375,105.70773,105.70773,187.5,104.20946
SMC_223.jams,0.19513581435973704,60.4229607250754,60.423,156.605,116,90,97,95.7031,91.986626,91.986626,90.91,90.52777
SMC_226.jams,0.1138747435114968,55.6991470664254,55.684,132.512,63,94,63,89.8777,59.773563,59.773563,61.86,66.08212
SMC_235.jams,0.1449998251123221,64.5161290322582,64.516,117.454,116,113,112,114.844,113.396286,113.396286,222.22,110.87286
SMC_239.jams,0.09824245805442898,48.2315112540193,48.232,120.185,87,80,87,88.3413,11.197686,11.197686,71.43,87.846634
SMC_243.jams,0.19994975205917673,51.19453924914658,51.195,117.454,54,73,54,87.5927,23.814796,47.629593,53.57,54.135292
SMC_255.jams,0.1046398742329495,63.9079741509143,63.908,143.555,71,67,67,71.0374,66.91011,66.91011,71.43,66.91011
SMC_256.jams,0.18995638280549484,67.87339002245815,67.873,114.844,97,101,112,108.799,129.0494,129.0494,111.11,64.48527
SMC_257.jams,0.26883507060809886,155.23958709884658,155.44,112.347,163,81,81,84.032,82.09008,82.09008,82.19,108.822586
SMC_258.jams,0.07509210857201289,88.88888888888927,88.889,99.384,146,144,139,76.5625,150.8139,150.8139,146.34,71.956955
