Tag,Count
2 beats/measure,0.048728813559322036
3 beats/measure,0.00847457627118644
4 beats/measure,0.6101694915254238
6 beats/measure,0.00423728813559322
8 beats/measure,0.00211864406779661
classical,0.17796610169491525
electronic/dance,0.13771186440677965
hip hop/rap,0.07838983050847458
jazz/blues,0.19915254237288135
rock/pop,0.2605932203389831
soul/rnb/funk,0.11440677966101695
tempo discontinuity,0.09957627118644068
tempo variation,0.07838983050847458
unkown meter,0.326271186440678
world/folk,0.03177966101694915
