Item,cvar,1.0,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
RM-C001.jams,0.14740447137225615,292.68292682927074,101.333,149,146,97,146.609,100.22718,100.22718,98.36,65.13583
RM-C002.jams,0.03754497427050447,212.3893805309743,109.957,108,108,108,107.108,108.74373,54.371864,107.14,105.82602
RM-C003.jams,0.1265378570451827,193.54838709677279,129.199,98,96,96,96.5975,98.7289,98.7289,96.77,90.21234
RM-C004.jams,0.36647276696007375,48.9796825020732,147.656,148,80,87,89.1029,64.34727,64.34727,45.8,110.71515
RM-C006.jams,0.20287048481542067,54.42176870748286,135.999,116,87,87,80.7495,59.655277,59.655277,122.45,87.68892
RM-C008.jams,0.032772960869875925,285.71428571428453,143.555,71,143,71,71.2823,71.05011,71.05011,71.43,73.73125
RM-C016.jams,0.039186591802456434,61.855670103092855,126.048,123,128,121,124.529,124.27855,124.27855,122.45,57.56557
RM-C018.jams,0.23262970994682836,299.99999999999574,120.185,107,84,84,78.3026,75.781525,75.781525,153.85,79.54694
RM-C021.jams,0.19693700109894133,57.34767025089602,129.199,87,84,84,126.048,126.32883,126.32883,120.0,99.04433
RM-C025_B.jams,0.06347869125383286,52.863436123348066,107.666,108,108,108,107.108,108.231155,108.231155,107.14,109.216866
RM-C029.jams,0.23924559662127268,58.679706601467,147.656,74,74,77,146.609,70.576965,70.576965,75.0,75.50553
RM-C030.jams,0.14847536146456494,38.4,132.512,116,67,67,131.668,125.02769,125.02769,122.45,59.06385
RM-C031.jams,0.5084938150922276,37.974683544303836,117.454,116,121,116,116.79,77.614944,77.614944,113.21,108.58601
RM-C032.jams,0.14924189773334565,92.30769230769201,143.555,140,143,139,140.625,138.82765,138.82765,139.53,69.0984
RM-C036.jams,0.11796797859285439,66.29834254143638,139.675,143,144,135,137.812,63.637554,127.27511,136.36,72.96239
RM-C037.jams,0.08293016808226225,243.24324324324328,123.047,119,121,121,120.185,80.43408,80.43408,120.0,120.88769
RM-C038.jams,0.2764470076673462,90.68067610781148,129.199,116,151,116,115.485,143.08592,71.54296,150.0,110.39972
RM-C040.jams,0.15460519724710972,59.25925925925918,129.199,116,67,130,130.012,70.16297,70.16297,127.66,63.775555
RM-C041.jams,0.14284949191982094,70.38123167155425,161.499,76,84,84,78.9003,77.79237,77.79237,153.85,75.30838
RM-C044.jams,0.055185314429368984,210.52631578947359,105.469,107,106,104,104.403,105.62888,105.62888,105.26,105.47117
RM-C048.jams,0.19795894586961774,57.14285714285704,151.999,87,87,90,87.5927,47.156452,94.312904,111.11,113.554
RM-C050.jams,0.3187868825289669,159.46843853820647,172.266,87,87,94,93.1166,96.99404,96.99404,176.47,86.506065
