Tag,Count
BigBand,0.04054054054054054
Choral,0.13063063063063063
Classical,0.13513513513513514
ClassicalSolo,0.0990990990990991
Country,0.17117117117117117
Dance,0.18018018018018017
Folk,0.0990990990990991
Folk2,0.018018018018018018
Jazz,0.18018018018018017
Rock,0.13513513513513514
Rock/Pop,0.3063063063063063
div by 2,0.481981981981982
div by 3 (triplet),0.036036036036036036
div by 4,0.22072072072072071
div by 6,0.0045045045045045045
none,0.04054054054054054
rallantando,0.04054054054054054
rubato,0.11711711711711711
sudden change,0.018018018018018018
swing 16ths,0.05405405405405406
swing 8ths,0.16216216216216217
