Tag,Count
breaks,0.0391566265060241
chill-out,0.022590361445783132
deep-house,0.03614457831325301
dj-tools,0.01355421686746988
drum-and-bass,0.20933734939759036
dubstep,0.1144578313253012
electro-house,0.03313253012048193
electronica,0.08132530120481928
funk-r-and-b,0.0015060240963855422
glitch-hop,0.025602409638554216
hard-dance,0.012048192771084338
hardcore-hard-techno,0.02108433734939759
hip-hop,0.0030120481927710845
house,0.03463855421686747
indie-dance-nu-disco,0.016566265060240965
minimal,0.012048192771084338
pop-rock,0.004518072289156626
progressive-house,0.0286144578313253
psy-trance,0.05120481927710843
reggae-dub,0.0030120481927710845
tech-house,0.03313253012048193
techno,0.09186746987951808
trance,0.11144578313253012
