T (BPM),alonso2004/ismir2004_corr,alonso2004/ismir2004_spec,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,dixon2001/ismir2004_indu,dixon2001/ismir2004_trac,dixon2003/ismir2004_auco,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/ismir2004,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/ismir2004,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,tzanetakis2002/ismir2004_hist,tzanetakis2002/ismir2004_mmul,tzanetakis2002/ismir2004_msum,uhle2004/ismir2004,zplane/auftakt_v3
16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
23.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
26.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5
27.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5
28.0,0.0,0.25,0.5,0.5,0.0,0.25,0.0,0.25,0.5,0.5,0.75,0.25,0.75,0.5,0.0,0.5,0.75,0.75,0.25,0.75,0.75,0.0,0.0,0.0,0.25,0.5
29.0,0.2,0.2,0.6,0.6,0.0,0.2,0.2,0.2,0.6,0.6,0.8,0.4,0.8,0.6,0.2,0.6,0.8,0.8,0.2,0.6,0.8,0.0,0.0,0.0,0.4,0.6
30.0,0.2,0.2,0.6,0.6,0.0,0.2,0.2,0.2,0.6,0.6,0.8,0.4,0.8,0.6,0.2,0.6,0.8,0.8,0.2,0.6,0.8,0.0,0.0,0.0,0.4,0.6
31.0,0.2,0.2,0.6,0.6,0.0,0.2,0.2,0.2,0.6,0.6,0.8,0.4,0.8,0.6,0.2,0.6,0.8,0.8,0.2,0.6,0.8,0.0,0.0,0.0,0.4,0.6
32.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
33.0,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.2857142857142857,0.5714285714285714
34.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.5,0.5,0.5,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666
35.0,0.375,0.25,0.75,0.75,0.125,0.25,0.375,0.25,0.625,0.875,0.875,0.625,0.875,0.625,0.625,0.625,0.875,0.875,0.5,0.75,0.75,0.0,0.0,0.0,0.25,0.75
36.0,0.4444444444444444,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778
37.0,0.4444444444444444,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778
38.0,0.4,0.3,0.8,0.7,0.1,0.2,0.4,0.2,0.6,0.8,0.8,0.6,0.9,0.6,0.6,0.7,0.9,0.9,0.5,0.7,0.7,0.0,0.0,0.0,0.2,0.7
39.0,0.3333333333333333,0.25,0.8333333333333334,0.5833333333333334,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.75,0.5,0.9166666666666666,0.5833333333333334,0.5,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.4166666666666667,0.75,0.5833333333333334,0.0,0.0,0.08333333333333333,0.16666666666666666,0.5833333333333334
40.0,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.07142857142857142,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.7857142857142857,0.5,0.9285714285714286,0.6428571428571429,0.5,0.7142857142857143,0.7857142857142857,0.9285714285714286,0.42857142857142855,0.7857142857142857,0.6428571428571429,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.6428571428571429
41.0,0.3125,0.3125,0.875,0.5625,0.125,0.1875,0.4375,0.3125,0.75,0.875,0.8125,0.5625,0.875,0.625,0.4375,0.75,0.8125,0.9375,0.5,0.8125,0.6875,0.0625,0.125,0.1875,0.25,0.6875
42.0,0.35,0.3,0.9,0.6,0.2,0.2,0.45,0.35,0.75,0.9,0.85,0.6,0.8,0.6,0.45,0.8,0.85,0.9,0.6,0.85,0.65,0.05,0.1,0.2,0.2,0.65
43.0,0.36,0.36,0.84,0.64,0.28,0.28,0.44,0.44,0.72,0.92,0.88,0.6,0.84,0.6,0.52,0.8,0.84,0.88,0.64,0.84,0.68,0.08,0.08,0.16,0.28,0.64
44.0,0.35714285714285715,0.32142857142857145,0.8571428571428571,0.6071428571428571,0.25,0.25,0.4642857142857143,0.39285714285714285,0.7142857142857143,0.9285714285714286,0.8928571428571429,0.6071428571428571,0.7857142857142857,0.5357142857142857,0.5,0.7857142857142857,0.8214285714285714,0.8571428571428571,0.6428571428571429,0.8214285714285714,0.6785714285714286,0.10714285714285714,0.07142857142857142,0.17857142857142858,0.25,0.6428571428571429
45.0,0.3548387096774194,0.3225806451612903,0.8387096774193549,0.5806451612903226,0.22580645161290322,0.25806451612903225,0.45161290322580644,0.3870967741935484,0.7096774193548387,0.8709677419354839,0.8387096774193549,0.5483870967741935,0.7419354838709677,0.5483870967741935,0.4838709677419355,0.7419354838709677,0.7741935483870968,0.8064516129032258,0.6129032258064516,0.8064516129032258,0.6451612903225806,0.0967741935483871,0.06451612903225806,0.16129032258064516,0.25806451612903225,0.6129032258064516
46.0,0.358974358974359,0.3333333333333333,0.8717948717948718,0.6410256410256411,0.28205128205128205,0.3076923076923077,0.46153846153846156,0.4358974358974359,0.7435897435897436,0.8717948717948718,0.8717948717948718,0.6153846153846154,0.6923076923076923,0.5641025641025641,0.46153846153846156,0.7948717948717948,0.7948717948717948,0.8461538461538461,0.6410256410256411,0.8461538461538461,0.6923076923076923,0.1282051282051282,0.10256410256410256,0.15384615384615385,0.3333333333333333,0.6410256410256411
47.0,0.36363636363636365,0.3181818181818182,0.9090909090909091,0.7045454545454546,0.29545454545454547,0.3409090909090909,0.4772727272727273,0.45454545454545453,0.7954545454545454,0.8636363636363636,0.8636363636363636,0.6363636363636364,0.7045454545454546,0.5681818181818182,0.4772727272727273,0.7954545454545454,0.7954545454545454,0.8636363636363636,0.7045454545454546,0.8636363636363636,0.75,0.13636363636363635,0.13636363636363635,0.20454545454545456,0.36363636363636365,0.6590909090909091
48.0,0.32653061224489793,0.3673469387755102,0.9183673469387755,0.7346938775510204,0.32653061224489793,0.32653061224489793,0.5102040816326531,0.5306122448979592,0.8163265306122449,0.8775510204081632,0.8775510204081632,0.673469387755102,0.7346938775510204,0.6122448979591837,0.5102040816326531,0.8163265306122449,0.7959183673469388,0.8775510204081632,0.7551020408163265,0.8775510204081632,0.7755102040816326,0.14285714285714285,0.16326530612244897,0.24489795918367346,0.42857142857142855,0.673469387755102
49.0,0.34615384615384615,0.40384615384615385,0.9423076923076923,0.75,0.3269230769230769,0.3269230769230769,0.5192307692307693,0.5576923076923077,0.8269230769230769,0.8846153846153846,0.8653846153846154,0.6923076923076923,0.75,0.5961538461538461,0.5192307692307693,0.8269230769230769,0.8076923076923077,0.8846153846153846,0.7692307692307693,0.9038461538461539,0.7692307692307693,0.17307692307692307,0.17307692307692307,0.2692307692307692,0.46153846153846156,0.6730769230769231
50.0,0.3559322033898305,0.3898305084745763,0.9491525423728814,0.7457627118644068,0.3389830508474576,0.3220338983050847,0.5254237288135594,0.5932203389830508,0.847457627118644,0.8983050847457628,0.8813559322033898,0.6779661016949152,0.7288135593220338,0.5932203389830508,0.5084745762711864,0.8305084745762712,0.8135593220338984,0.8983050847457628,0.7966101694915254,0.9322033898305084,0.7796610169491526,0.2033898305084746,0.1694915254237288,0.3220338983050847,0.4745762711864407,0.6610169491525424
51.0,0.38095238095238093,0.4126984126984127,0.9523809523809523,0.7619047619047619,0.3333333333333333,0.31746031746031744,0.5079365079365079,0.6031746031746031,0.8571428571428571,0.9047619047619048,0.8888888888888888,0.6984126984126984,0.7301587301587301,0.5873015873015873,0.5079365079365079,0.8253968253968254,0.8095238095238095,0.9047619047619048,0.8095238095238095,0.9365079365079365,0.7777777777777778,0.20634920634920634,0.20634920634920634,0.36507936507936506,0.5079365079365079,0.6666666666666666
52.0,0.43478260869565216,0.4782608695652174,0.9565217391304348,0.782608695652174,0.3333333333333333,0.391304347826087,0.4927536231884058,0.6376811594202898,0.8695652173913043,0.9130434782608695,0.8985507246376812,0.7101449275362319,0.7536231884057971,0.6086956521739131,0.5072463768115942,0.8405797101449275,0.8260869565217391,0.9130434782608695,0.8260869565217391,0.9420289855072463,0.7971014492753623,0.21739130434782608,0.21739130434782608,0.36231884057971014,0.5362318840579711,0.6956521739130435
53.0,0.4230769230769231,0.47435897435897434,0.9615384615384616,0.782051282051282,0.3974358974358974,0.41025641025641024,0.5256410256410257,0.6666666666666666,0.8717948717948718,0.9102564102564102,0.8717948717948718,0.6794871794871795,0.7435897435897436,0.6282051282051282,0.5256410256410257,0.8333333333333334,0.8333333333333334,0.9230769230769231,0.8333333333333334,0.9358974358974359,0.7948717948717948,0.24358974358974358,0.23076923076923078,0.3717948717948718,0.5512820512820513,0.6923076923076923
54.0,0.43209876543209874,0.49382716049382713,0.9629629629629629,0.7901234567901234,0.41975308641975306,0.4074074074074074,0.5432098765432098,0.6790123456790124,0.8765432098765432,0.9135802469135802,0.8888888888888888,0.691358024691358,0.7530864197530864,0.654320987654321,0.5308641975308642,0.8518518518518519,0.8395061728395061,0.9259259259259259,0.8395061728395061,0.9382716049382716,0.8148148148148148,0.24691358024691357,0.2345679012345679,0.38271604938271603,0.5802469135802469,0.7160493827160493
55.0,0.4482758620689655,0.5172413793103449,0.9540229885057471,0.8045977011494253,0.4367816091954023,0.4367816091954023,0.5632183908045977,0.6896551724137931,0.8850574712643678,0.9195402298850575,0.8850574712643678,0.6781609195402298,0.7471264367816092,0.6551724137931034,0.5402298850574713,0.8505747126436781,0.8390804597701149,0.9195402298850575,0.8390804597701149,0.9310344827586207,0.8160919540229885,0.2413793103448276,0.2413793103448276,0.367816091954023,0.5977011494252874,0.7241379310344828
56.0,0.44086021505376344,0.46236559139784944,0.946236559139785,0.7849462365591398,0.43010752688172044,0.44086021505376344,0.5698924731182796,0.6989247311827957,0.8709677419354839,0.9032258064516129,0.8494623655913979,0.6451612903225806,0.7419354838709677,0.6559139784946236,0.5268817204301075,0.8494623655913979,0.8387096774193549,0.9139784946236559,0.8387096774193549,0.9032258064516129,0.8064516129032258,0.22580645161290322,0.26881720430107525,0.41935483870967744,0.5806451612903226,0.6989247311827957
57.0,0.46464646464646464,0.48484848484848486,0.9494949494949495,0.797979797979798,0.4444444444444444,0.46464646464646464,0.5858585858585859,0.7171717171717171,0.8787878787878788,0.9090909090909091,0.8585858585858586,0.6464646464646465,0.7575757575757576,0.6767676767676768,0.5353535353535354,0.8585858585858586,0.8484848484848485,0.9191919191919192,0.8484848484848485,0.9090909090909091,0.8181818181818182,0.24242424242424243,0.29292929292929293,0.41414141414141414,0.5858585858585859,0.7070707070707071
58.0,0.47,0.48,0.94,0.8,0.45,0.47,0.59,0.72,0.88,0.91,0.86,0.64,0.75,0.67,0.53,0.85,0.84,0.92,0.85,0.91,0.82,0.24,0.3,0.42,0.59,0.7
59.0,0.5,0.5096153846153846,0.9423076923076923,0.8173076923076923,0.4519230769230769,0.5096153846153846,0.5865384615384616,0.75,0.8846153846153846,0.9230769230769231,0.875,0.6634615384615384,0.7596153846153846,0.6826923076923077,0.5288461538461539,0.8653846153846154,0.8557692307692307,0.9230769230769231,0.8846153846153846,0.9230769230769231,0.8557692307692307,0.25961538461538464,0.2980769230769231,0.4326923076923077,0.5961538461538461,0.7211538461538461
60.0,0.5181818181818182,0.5181818181818182,0.9363636363636364,0.8181818181818182,0.44545454545454544,0.509090909090909,0.5909090909090909,0.7363636363636363,0.8727272727272727,0.9090909090909091,0.8636363636363636,0.6636363636363637,0.7636363636363637,0.6909090909090909,0.5363636363636364,0.8636363636363636,0.8545454545454545,0.9181818181818182,0.8818181818181818,0.9090909090909091,0.8454545454545455,0.2818181818181818,0.2909090909090909,0.44545454545454544,0.6,0.7272727272727273
61.0,0.5267857142857143,0.5267857142857143,0.9285714285714286,0.8303571428571429,0.45535714285714285,0.5357142857142857,0.5982142857142857,0.7321428571428571,0.8660714285714286,0.8928571428571429,0.8571428571428571,0.6607142857142857,0.7678571428571429,0.6875,0.5446428571428571,0.8571428571428571,0.8571428571428571,0.9107142857142857,0.8839285714285714,0.9107142857142857,0.8392857142857143,0.2857142857142857,0.3125,0.4642857142857143,0.5982142857142857,0.7142857142857143
62.0,0.5263157894736842,0.5350877192982456,0.9210526315789473,0.8157894736842105,0.45614035087719296,0.543859649122807,0.6052631578947368,0.7280701754385965,0.868421052631579,0.868421052631579,0.8333333333333334,0.6491228070175439,0.7543859649122807,0.6929824561403509,0.5526315789473685,0.8333333333333334,0.8333333333333334,0.9035087719298246,0.8771929824561403,0.9035087719298246,0.8333333333333334,0.30701754385964913,0.3157894736842105,0.4649122807017544,0.6052631578947368,0.7017543859649122
63.0,0.5384615384615384,0.5555555555555556,0.9316239316239316,0.811965811965812,0.47863247863247865,0.5726495726495726,0.6239316239316239,0.7264957264957265,0.8717948717948718,0.8632478632478633,0.8290598290598291,0.6666666666666666,0.7692307692307693,0.7008547008547008,0.5555555555555556,0.8376068376068376,0.8376068376068376,0.905982905982906,0.8717948717948718,0.905982905982906,0.8376068376068376,0.3162393162393162,0.3504273504273504,0.47863247863247865,0.6410256410256411,0.7094017094017094
64.0,0.5565217391304348,0.5826086956521739,0.9391304347826087,0.8347826086956521,0.4956521739130435,0.591304347826087,0.6434782608695652,0.7478260869565218,0.8869565217391304,0.8608695652173913,0.8260869565217391,0.6782608695652174,0.782608695652174,0.7304347826086957,0.5565217391304348,0.8521739130434782,0.8521739130434782,0.9217391304347826,0.8869565217391304,0.9217391304347826,0.8521739130434782,0.33043478260869563,0.3739130434782609,0.5130434782608696,0.6608695652173913,0.7304347826086957
65.0,0.5819672131147541,0.6065573770491803,0.9426229508196722,0.8360655737704918,0.5,0.6229508196721312,0.6639344262295082,0.7622950819672131,0.8934426229508197,0.8688524590163934,0.8360655737704918,0.680327868852459,0.7950819672131147,0.7049180327868853,0.5819672131147541,0.8688524590163934,0.8688524590163934,0.9344262295081968,0.9016393442622951,0.9262295081967213,0.8688524590163934,0.3442622950819672,0.36885245901639346,0.5163934426229508,0.680327868852459,0.7540983606557377
66.0,0.5769230769230769,0.6076923076923076,0.9307692307692308,0.8307692307692308,0.5230769230769231,0.6384615384615384,0.6846153846153846,0.7538461538461538,0.8923076923076924,0.8692307692307693,0.8307692307692308,0.6846153846153846,0.8076923076923077,0.7076923076923077,0.5923076923076923,0.8692307692307693,0.8692307692307693,0.9384615384615385,0.9076923076923077,0.9384615384615385,0.8846153846153846,0.36923076923076925,0.38461538461538464,0.5230769230769231,0.7076923076923077,0.7461538461538462
67.0,0.6031746031746031,0.6428571428571429,0.9285714285714286,0.8333333333333334,0.5396825396825397,0.6507936507936508,0.7063492063492064,0.7777777777777778,0.8968253968253969,0.8809523809523809,0.8333333333333334,0.6904761904761905,0.8333333333333334,0.7063492063492064,0.6031746031746031,0.873015873015873,0.8809523809523809,0.9365079365079365,0.9206349206349206,0.9365079365079365,0.8888888888888888,0.3888888888888889,0.3888888888888889,0.5396825396825397,0.7301587301587301,0.7619047619047619
68.0,0.626984126984127,0.6507936507936508,0.9206349206349206,0.8253968253968254,0.5555555555555556,0.6587301587301587,0.7222222222222222,0.7698412698412699,0.8809523809523809,0.8650793650793651,0.8253968253968254,0.6904761904761905,0.8253968253968254,0.7222222222222222,0.6111111111111112,0.873015873015873,0.873015873015873,0.9285714285714286,0.9126984126984127,0.9365079365079365,0.8809523809523809,0.3888888888888889,0.3968253968253968,0.5396825396825397,0.7301587301587301,0.753968253968254
69.0,0.6461538461538462,0.6615384615384615,0.9153846153846154,0.7846153846153846,0.5538461538461539,0.676923076923077,0.7384615384615385,0.7692307692307693,0.8769230769230769,0.8692307692307693,0.8307692307692308,0.6923076923076923,0.823076923076923,0.7,0.6230769230769231,0.8769230769230769,0.8769230769230769,0.9307692307692308,0.9153846153846154,0.9307692307692308,0.8692307692307693,0.4153846153846154,0.4,0.5461538461538461,0.7307692307692307,0.7692307692307693
70.0,0.6461538461538462,0.6692307692307692,0.9076923076923077,0.7769230769230769,0.5615384615384615,0.7076923076923077,0.7538461538461538,0.7692307692307693,0.8692307692307693,0.8538461538461538,0.8153846153846154,0.6846153846153846,0.823076923076923,0.7307692307692307,0.6384615384615384,0.8769230769230769,0.8769230769230769,0.9307692307692308,0.9153846153846154,0.9230769230769231,0.8769230769230769,0.4307692307692308,0.4230769230769231,0.5153846153846153,0.7384615384615385,0.7846153846153846
71.0,0.6363636363636364,0.6666666666666666,0.9015151515151515,0.7727272727272727,0.5681818181818182,0.7196969696969697,0.75,0.7803030303030303,0.8636363636363636,0.8484848484848485,0.8106060606060606,0.696969696969697,0.8409090909090909,0.7348484848484849,0.6515151515151515,0.8787878787878788,0.8863636363636364,0.9242424242424242,0.9090909090909091,0.9166666666666666,0.8863636363636364,0.4621212121212121,0.42424242424242425,0.5227272727272727,0.7272727272727273,0.803030303030303
72.0,0.6183206106870229,0.6564885496183206,0.9007633587786259,0.7557251908396947,0.5877862595419847,0.732824427480916,0.7709923664122137,0.7633587786259542,0.8625954198473282,0.8244274809160306,0.7862595419847328,0.6793893129770993,0.8320610687022901,0.7175572519083969,0.6412213740458015,0.8778625954198473,0.8854961832061069,0.9236641221374046,0.9007633587786259,0.916030534351145,0.8854961832061069,0.48854961832061067,0.42748091603053434,0.5190839694656488,0.7099236641221374,0.8015267175572519
73.0,0.6328125,0.6484375,0.890625,0.7421875,0.59375,0.7265625,0.7890625,0.7578125,0.859375,0.8125,0.78125,0.703125,0.84375,0.7265625,0.65625,0.875,0.875,0.921875,0.8984375,0.9140625,0.890625,0.515625,0.4296875,0.5390625,0.71875,0.8046875
74.0,0.6484375,0.640625,0.890625,0.7421875,0.5859375,0.734375,0.765625,0.75,0.8515625,0.8125,0.7890625,0.71875,0.8515625,0.703125,0.640625,0.875,0.875,0.9140625,0.8984375,0.90625,0.890625,0.5390625,0.4375,0.5390625,0.7109375,0.8046875
75.0,0.6194029850746269,0.6492537313432836,0.9029850746268657,0.753731343283582,0.5970149253731343,0.7388059701492538,0.7761194029850746,0.7761194029850746,0.8656716417910447,0.8208955223880597,0.7985074626865671,0.746268656716418,0.8582089552238806,0.6940298507462687,0.6417910447761194,0.8880597014925373,0.8880597014925373,0.9253731343283582,0.9104477611940298,0.917910447761194,0.9029850746268657,0.5522388059701493,0.43283582089552236,0.5447761194029851,0.7164179104477612,0.8208955223880597
76.0,0.6212121212121212,0.6666666666666666,0.9015151515151515,0.75,0.6060606060606061,0.7424242424242424,0.7803030303030303,0.7803030303030303,0.8712121212121212,0.8257575757575758,0.803030303030303,0.7575757575757576,0.8712121212121212,0.696969696969697,0.6439393939393939,0.8787878787878788,0.8787878787878788,0.9242424242424242,0.9166666666666666,0.9242424242424242,0.9090909090909091,0.5757575757575758,0.4318181818181818,0.553030303030303,0.7196969696969697,0.8257575757575758
77.0,0.6299212598425197,0.6929133858267716,0.905511811023622,0.7480314960629921,0.6220472440944882,0.7559055118110236,0.7795275590551181,0.7874015748031497,0.8740157480314961,0.8267716535433071,0.8188976377952756,0.7716535433070866,0.8661417322834646,0.6929133858267716,0.6535433070866141,0.8818897637795275,0.8818897637795275,0.9291338582677166,0.9133858267716536,0.937007874015748,0.9133858267716536,0.5984251968503937,0.4251968503937008,0.5590551181102362,0.7559055118110236,0.8503937007874016
