Item,cvar,1.0,davies2009/mirex_qm_tempotracker,sun2021/default,klapuri2006/ismir2004,klapuri2006/percival2014,dixon2001/ismir2004_trac,dixon2001/ismir2004_indu,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,alonso2004/ismir2004_spec,alonso2004/ismir2004_corr,percival2014/stem,gkiokas2012/default,schreiber2017/mirex2017,schreiber2017/ismir2017,tzanetakis2002/ismir2004_msum,tzanetakis2002/ismir2004_mmul,tzanetakis2002/ismir2004_hist,uhle2004/ismir2004,scheirer1998/ismir2004,scheirer1998/percival2014,zplane/auftakt_v3,oliveira2010/ibt,dixon2003/ismir2004_auco,boeck2015/tempodetector2016_default,echonest/version_3_2_1,schreiber2014/default
Asian_Dub_Foundation/R.A.F.I/20sec/13-Real_Areas_For_Investigation.jams,,52.029585,105.469,198,104.0,104.403409,209.351,68.891,104,104,104,102.9902,202.3551,104.403,209.0,103.93346,103.93346,240.0,202.0,240.0,206.0,104.881,104.447,103.8,120.0,209.0,206.9,104.089,103.93346
Bach/20 sec/Bach - Cello suite 2 d - 01 Prelude.jams,,64.308682,84.7208,156,131.0,118.803879,114.783,72.859,101,84,123,141.1963,145.445,140.625,134.0,70.261536,70.261536,71.0,232.0,240.0,138.0,119.841,119.309,110.3,89.0,114.0,150.0,67.429,88.47749
Bernstein_conducts_Stravinsky/20sec/01-Introduction__Part_1-_The_adoration_of_the_earth_.jams,,53.472717,172.266,87,164.0,164.0625,217.684,218.203,87,84,84,0.0,236.25,85.421,85.0,84.92893,84.92893,237.0,206.0,247.0,198.0,79.1481,80.0456,83.2,110.0,84.0,166.67,68.961,84.77122
Bernstein_conducts_Stravinsky/20sec/16-Legerdemain_scene-_Russian_danse.jams,,100.0,234.908,115,120.0,116.134129,233.572,229.862,116,116,116,114.4336,112.8276,118.125,116.0,53.543865,107.08773,224.0,215.0,243.0,240.0,178.788,179.814,117.1,117.0,233.0,230.77,112.757,58.571
Bernstein_conducts_Stravinsky/20sec/19-Waltz__ballerina_and_the_moor.jams,,23.0,143.555,71,142.0,139.674831,157.421,158.232,71,71,71,71.2903,143.3465,70.0742,70.0,70.34039,70.34039,144.0,151.0,248.0,71.0,70.3014,140.895,141.5,144.0,147.0,69.77,124.345,70.34039
Classic/20 sec/Pergolesi - Stabat Mater 01.jams,,44.94382,156.605,90,91.0,90.666118,0.0,173.013,90,90,90,53.5254,87.6972,90.6661,180.0,91.19805,91.19805,246.0,221.0,246.0,169.0,93.158,92.4551,92.0,126.0,92.0,90.91,75.252,91.316345
Fado/20 sec/03-AudioTrack 03.jams,,51.724138,184.57,100,104.0,103.359375,198.979,130.111,101,96,101,61.8311,65.4189,122.319,99.0,64.41627,103.066025,200.0,224.0,246.0,114.0,79.1481,79.1631,98.8,89.0,232.0,103.45,106.791,100.66089
Papakonstantinou/20 sec/02-AudioTrack 02.jams,,61.0,123.047,120,120.0,120.18532,160.671,96.127,121,121,120,120.7397,155.3571,120.888,120.0,120.45399,120.45399,123.0,123.0,246.0,121.0,123.446,123.344,120.5,120.0,246.0,120.0,119.889,120.45399
Papakonstantinou/20 sec/13-AudioTrack 13.jams,,50.16722,114.844,100,100.0,100.348908,207.872,207.471,101,101,101,63.3691,70.9906,79.2026,100.0,100.22718,100.22718,191.0,227.0,246.0,201.0,201.287,76.5734,98.5,99.0,214.0,100.0,61.607,100.26661
more greek/03 Virginouda.jams,,58.252427,178.206,87,87.0,88.341346,173.358,158.65,177,177,87,88.7783,86.5085,87.9654,87.0,89.14777,89.14777,183.0,144.0,243.0,87.0,72.4158,87.4695,88.6,89.0,178.0,176.47,86.72,88.99006
more greek/Mpellou - Min klais.jams,,38.0,112.347,73,107.0,117.453835,133.908,169.177,72,73,71,54.4482,69.1515,71.7773,71.0,71.52325,71.52325,244.0,219.0,246.0,102.0,125.288,164.552,107.3,129.0,93.0,71.43,61.828,71.207825
more greek/Mpellou - To minore tis avgis.jams,,36.0,224.694,73,108.0,107.666016,0.0,234.699,73,146,94,103.3594,68.3333,71.0374,144.0,72.7061,72.7061,201.0,145.0,249.0,212.0,59.7289,89.4306,71.8,108.0,220.0,214.29,106.532,72.44982
