T (BPM),1.0,2.0,GTZAN-Rhythm_v2_ismir2015_lbd_2015-10-28
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0
33.0,0.004,0.004004004004004004,0.001
34.0,0.004,0.004004004004004004,0.002
35.0,0.006,0.006006006006006006,0.002
36.0,0.007,0.007007007007007007,0.002
37.0,0.007,0.007007007007007007,0.002
38.0,0.008,0.008008008008008008,0.002
39.0,0.009,0.008008008008008008,0.002
40.0,0.011,0.009009009009009009,0.003
41.0,0.012,0.009009009009009009,0.003
42.0,0.014,0.01001001001001001,0.003
43.0,0.017,0.012012012012012012,0.002
44.0,0.014,0.009009009009009009,0.001
45.0,0.019,0.014014014014014014,0.002
46.0,0.017,0.012012012012012012,0.005
47.0,0.021,0.016016016016016016,0.008
48.0,0.024,0.01901901901901902,0.009
49.0,0.031,0.026026026026026026,0.013
50.0,0.035,0.031031031031031032,0.013
51.0,0.039,0.036036036036036036,0.017
52.0,0.046,0.044044044044044044,0.02
53.0,0.051,0.05005005005005005,0.022
54.0,0.051,0.05005005005005005,0.025
55.0,0.063,0.062062062062062065,0.026
56.0,0.067,0.06506506506506507,0.03
57.0,0.083,0.08108108108108109,0.03
58.0,0.083,0.08108108108108109,0.037
59.0,0.094,0.0920920920920921,0.036
60.0,0.099,0.0970970970970971,0.036
61.0,0.11,0.10810810810810811,0.036
62.0,0.11,0.10810810810810811,0.039
63.0,0.116,0.11311311311311312,0.042
64.0,0.117,0.11411411411411411,0.046
65.0,0.13,0.12812812812812813,0.047
66.0,0.122,0.12012012012012012,0.043
67.0,0.129,0.12712712712712712,0.043
68.0,0.126,0.12412412412412413,0.046
69.0,0.136,0.13513513513513514,0.048
70.0,0.144,0.14214214214214213,0.053
71.0,0.145,0.14214214214214213,0.058
72.0,0.138,0.13413413413413414,0.055
73.0,0.142,0.13813813813813813,0.052
74.0,0.14,0.13713713713713713,0.05
75.0,0.148,0.14414414414414414,0.056
76.0,0.141,0.13713713713713713,0.059
