T (BPM),schreiber2018/ismir2018
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,4.002721850858584e-05
44.0,4.002721850858584e-05
45.0,4.002721850858584e-05
46.0,4.002721850858584e-05
47.0,0.00012008165552575751
48.0,0.0010807348997318176
49.0,0.0011607893367489893
50.0,0.0017211703958691911
51.0,0.0024416603290237362
52.0,0.002801905295601009
53.0,0.0028819597326181804
54.0,0.0028819597326181804
55.0,0.004603130128487371
56.0,0.005283592843133331
57.0,0.005843973902253532
58.0,0.006644518272425249
59.0,0.006404354961373734
60.0,0.008725933634871712
61.0,0.009046151382940399
62.0,0.014409798663090901
63.0,0.015930832966417164
64.0,0.016971540647640396
65.0,0.02633790977864948
66.0,0.026898290837769682
67.0,0.02877957010767322
68.0,0.03402313573229796
69.0,0.039787055197534324
70.0,0.04647160068846816
71.0,0.04647160068846816
72.0,0.06368330464716007
73.0,0.0686867069607333
74.0,0.07168874834887724
75.0,0.10130889004523076
76.0,0.09982788296041308
77.0,0.10335027818916863
78.0,0.10735300004002722
79.0,0.126606092142657
80.0,0.13172957611175598
81.0,0.1334107192891166
82.0,0.14621942921186407
83.0,0.13929472040987873
84.0,0.133370692070608
85.0,0.16683344674378578
86.0,0.14505863987511508
87.0,0.1517832125845575
88.0,0.15606612496497618
89.0,0.161109554497058
90.0,0.1487011167593964
91.0,0.172997638394108
92.0,0.16907497098026658
93.0,0.16375135091862467
94.0,0.15906816635312013
95.0,0.18536604891326103
96.0,0.15390465516551255
97.0,0.15198334867710042
98.0,0.1415762718648681
99.0,0.14129608133530802
100.0,0.13517191690349437
101.0,0.1330905015410479
102.0,0.10367049593723732
103.0,0.10987471480606813
104.0,0.1037105231557459
105.0,0.11495817155665852
106.0,0.08613857423047673
107.0,0.09054156826642117
108.0,0.08858023455950045
109.0,0.09194252091422167
110.0,0.08970099667774087
111.0,0.0961053516391146
112.0,0.08890045230756914
113.0,0.09258295641035905
114.0,0.08673898250810551
115.0,0.1481407357002762
116.0,0.1509026137773686
117.0,0.153184165232358
118.0,0.1554657166873474
119.0,0.15734699595725093
120.0,0.16711363727334588
121.0,0.16687347396229435
122.0,0.16319096985950446
123.0,0.17928191169995597
124.0,0.17391826441980546
125.0,0.19028939678981707
126.0,0.12812712644598326
127.0,0.11751991354120803
128.0,0.12052195492935196
129.0,0.11551855261577873
130.0,0.11816034903734539
131.0,0.10759316335107873
132.0,0.10523155745907217
133.0,0.10775327222511308
134.0,0.09170235760317015
135.0,0.11403754553096106
136.0,0.09586518832806308
137.0,0.09726614097586359
138.0,0.10307008765960854
139.0,0.10915422487291358
140.0,0.105151503022055
141.0,0.10943441540247369
142.0,0.1037505503742545
143.0,0.10242965216347116
144.0,0.0966657326982348
145.0,0.10299003322259136
146.0,0.0850578393307449
147.0,0.08313653284233279
148.0,0.08385702277548733
149.0,0.07076812232317976
150.0,0.05687867750070048
151.0,0.05387663611255654
152.0,0.0404274906936717
153.0,0.04174838890445503
154.0,0.03918664691990554
155.0,0.044390185326021694
156.0,0.03526397950606412
157.0,0.037665612616579275
158.0,0.036424768842813114
