τ,ballroom 1.0,beatles 1.2,gtzan GTZAN-Rhythm_v2_ismir2015_lbd_2015-10-28,hainsworth 1.0,hjdb 1.0,klapuri 1.0,rwc_mdb_c 1.0,rwc_mdb_g 1.0,rwc_mdb_j 1.0,rwc_mdb_p 1.0,rwc_mdb_r 1.0,smc_mirex 1.0,wjd 1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.2507163323782235,0.0,0.037,0.0,0.723404255319149,0.019067796610169493,0.0,0.049019607843137254,0.0,0.69,0.6666666666666666,0.004608294930875576,0.0
0.01,0.5186246418338109,0.07262569832402235,0.321,0.12162162162162163,0.9829787234042553,0.08050847457627118,0.0,0.2549019607843137,0.08,0.79,0.7333333333333333,0.004608294930875576,0.0043859649122807015
0.015,0.7392550143266475,0.46368715083798884,0.454,0.4369369369369369,0.9914893617021276,0.3813559322033898,0.0,0.3333333333333333,0.14,0.83,0.8,0.004608294930875576,0.15570175438596492
0.02,0.8624641833810889,0.6368715083798883,0.564,0.6081081081081081,0.9914893617021276,0.538135593220339,0.0,0.38235294117647056,0.18,0.86,0.8,0.013824884792626729,0.4956140350877193
0.025,0.9398280802292264,0.7150837988826816,0.643,0.6936936936936937,0.9914893617021276,0.6038135593220338,0.0,0.46078431372549017,0.22,0.93,0.8,0.027649769585253458,0.7631578947368421
0.03,0.9713467048710601,0.7597765363128491,0.701,0.7702702702702703,0.9957446808510638,0.6377118644067796,0.0,0.5098039215686274,0.24,0.93,0.8,0.027649769585253458,0.8881578947368421
0.035,0.9799426934097422,0.7988826815642458,0.753,0.8108108108108109,0.9957446808510638,0.663135593220339,0.01639344262295082,0.5784313725490197,0.34,0.94,0.8,0.05069124423963134,0.9364035087719298
0.04,0.9856733524355301,0.8268156424581006,0.802,0.8558558558558559,0.9957446808510638,0.6991525423728814,0.08196721311475409,0.6078431372549019,0.44,0.98,0.8666666666666667,0.059907834101382486,0.956140350877193
0.045,0.9856733524355301,0.8324022346368715,0.841,0.8603603603603603,0.9957446808510638,0.739406779661017,0.09836065573770492,0.6274509803921569,0.6,0.98,0.9333333333333333,0.11059907834101383,0.9627192982456141
0.05,0.9885386819484241,0.8435754189944135,0.865,0.8738738738738738,1.0,0.7838983050847458,0.13114754098360656,0.6666666666666666,0.7,0.98,0.9333333333333333,0.17050691244239632,0.9780701754385965
0.055,0.9885386819484241,0.8603351955307262,0.886,0.8828828828828829,1.0,0.8283898305084746,0.14754098360655737,0.6862745098039216,0.78,0.98,1.0,0.22580645161290322,0.9802631578947368
0.06,0.9914040114613181,0.8659217877094972,0.902,0.8873873873873874,1.0,0.8665254237288136,0.22950819672131148,0.696078431372549,0.82,0.98,1.0,0.271889400921659,0.9824561403508771
0.065,0.9928366762177651,0.8659217877094972,0.915,0.8873873873873874,1.0,0.8898305084745762,0.26229508196721313,0.7254901960784313,0.84,0.98,1.0,0.3225806451612903,0.9868421052631579
