T (BPM),1.0,2.0,2.0-no-dupes,3.0,3.0-no-dupes,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.0,0.0,0.0,0.0,0.0,0.0014326647564469914
54.0,0.0,0.0,0.0,0.0,0.0,0.0014326647564469914
55.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0028653295128939827
56.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0028653295128939827
57.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0028653295128939827
58.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0028653295128939827
59.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0028653295128939827
60.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0028653295128939827
61.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0028653295128939827
62.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0028653295128939827
63.0,0.0028653295128939827,0.0,0.0,0.0,0.0,0.004297994269340974
64.0,0.0028653295128939827,0.0014326647564469914,0.00145985401459854,0.0014326647564469914,0.00145985401459854,0.0028653295128939827
65.0,0.0028653295128939827,0.0014326647564469914,0.00145985401459854,0.0014326647564469914,0.00145985401459854,0.0028653295128939827
66.0,0.0014326647564469914,0.0014326647564469914,0.00145985401459854,0.0014326647564469914,0.00145985401459854,0.0014326647564469914
67.0,0.0028653295128939827,0.0014326647564469914,0.00145985401459854,0.0014326647564469914,0.00145985401459854,0.0028653295128939827
68.0,0.0028653295128939827,0.0014326647564469914,0.00145985401459854,0.0014326647564469914,0.00145985401459854,0.0028653295128939827
69.0,0.004297994269340974,0.0028653295128939827,0.00291970802919708,0.0028653295128939827,0.00291970802919708,0.004297994269340974
70.0,0.004297994269340974,0.0057306590257879654,0.00583941605839416,0.004297994269340974,0.004379562043795621,0.004297994269340974
71.0,0.011461318051575931,0.011461318051575931,0.01167883211678832,0.01002865329512894,0.010218978102189781,0.011461318051575931
72.0,0.011461318051575931,0.011461318051575931,0.01167883211678832,0.011461318051575931,0.01167883211678832,0.011461318051575931
73.0,0.011461318051575931,0.011461318051575931,0.01167883211678832,0.011461318051575931,0.01167883211678832,0.012893982808022923
74.0,0.01002865329512894,0.012893982808022923,0.01167883211678832,0.012893982808022923,0.013138686131386862,0.011461318051575931
