Item,cvar,schreiber2018/ismir2018,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
000/000540.jams,,121,132.512,135,90,132.512,135.2791,135.2791,150.0,109.49287
000/000714.jams,,96,161.499,123,87,84.032,146.20078,146.20078,230.77,73.06096
000/000715.jams,,96,166.709,174,84,69.3687,131.76996,131.76996,130.43,65.88498
000/000890.jams,,119,143.555,87,87,92.2852,135.47623,135.47623,77.92,136.14651
001/001197.jams,,90,123.047,61,61,121.599,60.877563,60.877563,60.61,60.877563
001/001249.jams,,146,156.605,121,158,90.6661,156.13675,156.13675,171.43,154.87505
001/001673.jams,,80,151.999,148,84,68.9062,66.08212,66.08212,130.43,99.16261
003/003263.jams,,80,107.666,52,104,107.108,104.761444,104.761444,105.26,104.327736
003/003537.jams,,74,126.048,116,108,91.4685,99.793465,99.793465,100.0,99.91175
003/003832.jams,,90,143.555,67,67,83.6918,66.67355,66.67355,133.33,66.6144
004/004017.jams,,70,107.666,50,87,52.0702,45.10617,90.21234,105.26,81.06494
004/004066.jams,,96,161.499,121,123,74.0927,117.49685,117.49685,240.0,117.49685
004/004450.jams,,87,184.57,73,57,148.719,46.525597,46.525597,146.34,116.55057
004/004520.jams,,118,151.999,147,147,147.656,148.17221,148.17221,146.34,74.086105
004/004799.jams,,90,147.656,72,94,139.675,68.52669,137.05338,142.86,137.05338
006/006407.jams,,73,126.048,50,97,79.5072,49.04902,49.04902,101.69,49.04902
006/006675.jams,,132,105.469,174,162,94.8251,63.282696,63.282696,200.0,126.56539
006/006677.jams,,120,132.512,174,162,131.668,97.94032,97.94032,200.0,97.94032
006/006679.jams,,120,132.512,87,161,65.625,45.579315,45.579315,130.43,91.15863
006/006684.jams,,120,132.512,49,140,130.835,49.36445,49.36445,193.55,98.7289
007/007011.jams,,144,166.709,116,161,80.7495,125.57968,125.57968,88.24,85.32321
007/007373.jams,,87,126.048,94,94,133.367,63.400986,63.400986,240.0,63.164413
007/007375.jams,,119,161.499,84,125,131.668,134.33281,134.33281,181.82,125.10654
007/007393.jams,,77,135.999,116,84,135.11,53.898724,107.79745,146.34,142.7705
008/008345.jams,,160,172.266,192,108,85.0694,87.68892,175.37784,171.43,121.63683
009/009152.jams,,137,129.199,121,158,93.1166,150.61676,150.61676,187.5,88.91121
009/009155.jams,,151,112.347,112,92,130.012,142.25793,142.25793,130.43,142.25793
009/009678.jams,,80,172.266,148,123,143.555,61.508415,61.508415,139.53,122.70141
009/009918.jams,,144,172.266,87,162,89.1029,118.916275,118.916275,171.43,164.6533
010/010376.jams,,84,103.359,115,116,117.454,119.941414,119.941414,115.38,119.98084
010/010438.jams,,128,156.605,116,232,116.79,58.35414,58.35414,120.0,101.33118
010/010541.jams,,96,126.048,116,107,121.599,103.8546,103.8546,127.66,123.25341
011/011239.jams,,123,161.499,118,78,93.9631,23.893654,47.787308,214.29,77.26009
011/011672.jams,,84,143.555,104,107,73.0455,73.96781,73.96781,193.55,133.5048
012/012353.jams,,119,129.199,101,63,131.668,63.0067,126.0134,125.0,125.69797
