T (BPM),schreiber2018/ismir2018
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.00012504689258471927
44.0,0.00012504689258471927
45.0,0.00012504689258471927
46.0,0.00012504689258471927
47.0,0.00025009378516943853
48.0,0.0011254220332624733
49.0,0.001375515818431912
50.0,0.0022508440665249467
51.0,0.003126172314617982
52.0,0.0035013129923721397
53.0,0.003751406777541578
54.0,0.003751406777541578
55.0,0.0067525321995748405
56.0,0.007502813555083156
57.0,0.008253094910591471
58.0,0.009878704514192822
59.0,0.009503563836438664
60.0,0.012629736151056645
61.0,0.012879829936226085
62.0,0.01900712767287733
63.0,0.021383018631986994
64.0,0.022883581343003626
65.0,0.03363761410528948
66.0,0.03363761410528948
67.0,0.03601350506439915
68.0,0.04301613104914343
69.0,0.04776791296736276
70.0,0.05414530448918344
71.0,0.054020257596598724
72.0,0.07327747905464549
73.0,0.07727897961735651
74.0,0.07902963611354258
75.0,0.10941603101162936
76.0,0.10754032762285858
77.0,0.11066649993747656
78.0,0.11491809428535701
79.0,0.13004876828810805
80.0,0.13780167562836063
81.0,0.1409278479429786
82.0,0.15168188070526448
83.0,0.14292859822433412
84.0,0.13705139427285232
85.0,0.17168938351881954
86.0,0.14843066149806178
87.0,0.15530824059022133
88.0,0.16006002250844067
89.0,0.16568713267475305
90.0,0.15530824059022133
91.0,0.17794172814805553
92.0,0.17281480555208203
93.0,0.16868825809678628
94.0,0.16318619482305866
95.0,0.18982118294360384
96.0,0.1603101162936101
97.0,0.15930974115293234
98.0,0.14718019257221457
99.0,0.14642991121670626
100.0,0.13892709766162312
101.0,0.1369263473802676
102.0,0.10829060897836688
103.0,0.11579342253345004
104.0,0.1102913592597224
105.0,0.12192072027010128
106.0,0.09315993497561585
107.0,0.09441040390146305
108.0,0.0907840440165062
109.0,0.09591096661247968
110.0,0.09353507565337002
111.0,0.10016256096036014
112.0,0.0927847942978617
113.0,0.09328498186820057
114.0,0.08640740277604102
115.0,0.14805552082030762
116.0,0.1519319744904339
117.0,0.1544329123421283
118.0,0.15880955358259347
119.0,0.16043516318619483
120.0,0.1680630236338627
121.0,0.16731274227835438
122.0,0.16268600725271978
123.0,0.17931724396648743
124.0,0.17569088408153058
125.0,0.19119669876203577
126.0,0.129173440040015
127.0,0.1161685632112042
128.0,0.11891959484806802
129.0,0.11104164061523071
130.0,0.11366762535950982
131.0,0.10416406152307116
132.0,0.10128798299362261
133.0,0.10241340502688508
134.0,0.08553207452794798
135.0,0.10741528073027386
136.0,0.08940852819807428
137.0,0.09003376266099787
138.0,0.09503563836438665
139.0,0.10166312367137677
140.0,0.09878704514192822
141.0,0.10041265474552957
142.0,0.09441040390146305
143.0,0.09315993497561585
144.0,0.08803301237964237
145.0,0.09491059147180192
146.0,0.07427785419532325
147.0,0.07277729148430662
148.0,0.0720270101287983
149.0,0.06002250844066525
150.0,0.04526697511566838
151.0,0.041390521445542075
152.0,0.03163686382393398
153.0,0.033012379642365884
154.0,0.03076153557584094
155.0,0.036638739527322745
156.0,0.02763536326122296
157.0,0.030136301112917343
158.0,0.02951106664999375
