Item,cvar,schreiber2018/ismir2018,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
000/000148.jams,,80,107.666,83.3543,65.60898,65.60898,181.82,70.97125
000/000181.jams,,204,101.333,101.333,101.56775,101.56775,101.69,71.7204
000/000399.jams,,79,105.469,90.6661,149.90704,149.90704,150.0,74.95352
000/000400.jams,,80,166.709,94.8251,124.475685,124.475685,240.0,124.475685
000/000405.jams,,80,135.999,67.5551,67.50154,67.50154,136.36,85.1655
000/000414.jams,,121,126.048,106.556,41.478752,82.957504,146.34,92.61748
000/000540.jams,,121,132.512,131.668,149.0002,149.0002,150.0,80.33552
000/000677.jams,,144,198.768,97.5088,73.2581,73.2581,200.0,73.13982
000/000714.jams,,96,161.499,68.9062,146.16135,146.16135,230.77,73.06096
000/000715.jams,,96,166.709,71.2823,131.80939,131.80939,130.43,65.88498
000/000716.jams,,80,156.605,73.8281,153.84991,153.84991,146.34,91.15863
000/000718.jams,,136,198.768,96.5975,54.805576,54.805576,214.29,70.55725
000/000753.jams,,87,126.048,74.8981,50.31073,50.31073,117.65,105.90488
000/000819.jams,,121,109.957,108.799,107.955154,107.955154,107.14,107.955154
000/000878.jams,,80,114.844,90.6661,46.76217,46.76217,150.0,104.28831
000/000890.jams,,119,143.555,89.8777,135.47623,135.47623,77.92,126.52596
000/000995.jams,,160,123.047,91.4685,24.682224,24.682224,206.9,97.6249
000/000997.jams,,143,132.512,72.2793,158.34474,158.34474,214.29,117.339134
001/001017.jams,,120,147.656,145.577,154.28362,154.28362,153.85,77.14181
001/001022.jams,,184,112.347,91.4685,92.38091,92.38091,92.31,92.30205
001/001023.jams,,123,151.999,63.8021,96.67861,96.67861,214.29,104.44602
001/001047.jams,,144,114.844,100.349,130.8631,130.8631,187.5,130.8631
001/001154.jams,,168,84.7208,83.6918,83.66722,83.66722,83.33,83.58836
001/001197.jams,,90,123.047,121.243,60.877563,60.877563,60.61,60.877563
001/001199.jams,,80,132.512,122.319,54.095863,108.19173,57.69,54.095863
001/001249.jams,,146,156.605,91.4685,106.61459,106.61459,171.43,106.61459
001/001259.jams,,121,132.512,53.0048,69.867256,69.867256,103.45,69.808105
001/001278.jams,,121,156.605,89.1029,94.58891,94.58891,153.85,132.12482
001/001451.jams,,106,172.266,85.421,101.449455,101.449455,166.67,101.449455
001/001545.jams,,74,156.605,79.5072,115.60428,115.60428,230.77,118.955696
